,index,variable,value
0,Model 1,F1,0.2766203703703704
1,Model 1,Precision,0.2571428571428572
2,Model 1,R_Score,0.3333333333333333
3,Model 1,Recall,0.3333333333333333
4,Model 2,F1,0.2510822510822511
5,Model 2,Precision,0.23484848484848486
6,Model 2,R_Score,0.2727272727272727
7,Model 2,Recall,0.2727272727272727
8,Model 3,F1,0.3744949494949495
9,Model 3,Precision,0.3958333333333333
10,Model 3,R_Score,0.375
11,Model 3,Recall,0.375
12,Model 4,F1,0.4756944444444444
13,Model 4,Precision,0.5125000000000001
14,Model 4,R_Score,0.5
15,Model 4,Recall,0.5
16,Model 5,F1,0.5878968253968254
17,Model 5,Precision,0.7291666666666666
18,Model 5,R_Score,0.5833333333333334
19,Model 5,Recall,0.5833333333333334
